학번,﻿학년,반,성,이름,국어성적,수학성적,영어성적
001,1,1,김,민준,53.4,32.4,54.6
002,1,1,이,서준,21.4,40.1,26.6
003,1,2,박,예준,33.2,33.3,52.8
004,1,2,김,도윤,42.5,59.2,45.3
005,1,3,이,시우,33,50.8,30.6
006,1,3,박,주원,35.3,52.7,33.8
007,1,4,김,하준,37,48.9,57.6
008,1,4,이,지호,21.1,25.2,45.7
009,1,5,박,지후,51.9,41.7,20.2
010,1,5,김,준서,57.4,20.3,24.4
011,2,1,김,준우,41,26.1,23.6
012,2,1,이,현우,46.2,38.1,50.6
013,2,2,박,도현,31.5,29.5,23.1
014,2,2,김,지훈,43.3,21.3,54.3
015,2,3,이,건우,58.8,34.7,54
016,2,3,박,우진,41.3,47,43.7
017,2,4,김,선우,58.6,49.7,39.4
018,2,4,이,서진,36.1,26.9,44.3
019,2,5,박,민재,36.4,26.5,20
020,3,1,김,현준,32.4,44.2,50.4
021,3,1,이,연우,49.7,47.1,29.8
022,3,2,박,유준,35.2,43.7,55.7
023,3,2,김,정우,22.8,26.4,29.8
024,3,3,김,승우,27,24,32.7
025,3,3,이,승현,24.3,54,40.5
026,3,4,박,시윤,43.6,39.8,30.1
027,3,4,김,준혁,29.1,25.7,49
028,3,5,이,은우,21.4,48,57.1
029,3,5,박,지환,30.2,31.1,39.6
